dataset,task,n,episodes,label_residual_rho,rho_ci_low,rho_ci_high,progress_monotone_rho,descriptive_progress_max_min,cross_episode_progress_high_low,both_progress_folds_above_one,progress_fold_ratios,stage_rms
gr1,gr1_unified.PnPBottleToCabinetClose,120,12,0.3103757205361483,0.12439165183318572,0.48598655876632396,0.31259516736481474,3.4899285170396817,1.811230734039201,True,"[2.0095900084465153, 1.6324507775912813]","[0.07421263965370412, 0.038236030639942443, 0.03369284387371021, 0.047639404495167244, 0.05363268554096048, 0.08386480408345685, 0.117585616655027, 0.10481676073503961, 0.04956209163477722, 0.04763938655141773]"
gr1,gr1_unified.PnPCanToDrawerClose,120,12,0.4037849850684075,0.24990066120186138,0.5831705689060634,0.17930095718645886,3.6795413130255366,1.2643703160924513,True,"[1.3145257882004384, 1.2161285161276474]","[0.034552730150760824, 0.02942603651166158, 0.06841335218372883, 0.05592702606929043, 0.03226253907677925, 0.05649311818068274, 0.10827431702325663, 0.06841785929978228, 0.07441066954247502, 0.07144974432322192]"
gr1,gr1_unified.PnPCupToDrawerClose,120,12,0.46431002152927286,0.32876961562086593,0.5993029601325536,0.3110354885755955,3.9823330419551755,1.2551848781857398,True,"[1.073093020581898, 1.4681756830100543]","[0.02588344868195626, 0.03033090566556354, 0.08786654706149481, 0.06492923803062302, 0.06182044066037071, 0.09458169858743232, 0.04290863305402001, 0.07542182351195402, 0.10307651292590554, 0.039144307821888207]"
gr1,gr1_unified.PnPMilkToMicrowaveClose,120,12,0.38770053475935823,0.1549539290922221,0.5771157707567747,0.33422459893048123,3.00656501731402,1.3337269641318914,True,"[1.246322772513521, 1.4272607819441678]","[0.07669311993585298, 0.07409675528440766, 0.0524881795635552, 0.07673750826304201, 0.06536885597208424, 0.06767910104773635, 0.08814717823857655, 0.07381851020706123, 0.0869596107591654, 0.15780912449828174]"
gr1,gr1_unified.PnPPotatoToMicrowaveClose,120,12,0.6073199527744981,0.4326213192132284,0.7167575219172505,0.23958997081425587,2.3582945033270657,1.2903265853046362,True,"[1.374129455348787, 1.2116345299659703]","[0.043647677227393725, 0.06182205476096228, 0.08074737388129598, 0.10065998308790855, 0.04476520621012213, 0.076564552978812, 0.08671933341205972, 0.06133615171188577, 0.10293407728835656, 0.05187637622206932]"
gr1,gr1_unified.PnPWineToCabinetClose,120,12,0.455302451559136,0.29905161335139446,0.5797700919507108,0.4360719494409333,2.5456676393470064,1.3522270868263722,True,"[1.4621498294724382, 1.2505682095566697]","[0.060437985193799296, 0.06807645681285951, 0.11989158387224681, 0.06397890074604762, 0.0825203499885023, 0.09719154814635461, 0.0771546293865912, 0.1266906817978656, 0.1447463168287854, 0.15385502309518836]"
gr1,gr1_unified.PosttrainPnPNovelFromCuttingboardToBasketSplitA,120,12,0.10342384887839431,-0.08313784363830053,0.3022017897805875,0.06949452999269101,2.378299486200612,1.4501206359429335,True,"[1.4814183923806978, 1.419484103615168]","[0.052383950756750376, 0.04473991698292171, 0.05146431380502642, 0.09691868178789975, 0.06885376151307837, 0.055510868454919295, 0.056104931123772274, 0.07608148246114833, 0.10640492157314073, 0.052618538674802644]"
gr1,gr1_unified.PosttrainPnPNovelFromCuttingboardToCardboardboxSplitA,120,12,0.25703173831516074,0.03144509762335393,0.46218440154096635,0.2069865962914091,2.478323260997978,1.1403468025152508,True,"[1.0561435388683493, 1.2312633483514148]","[0.043003029218512255, 0.039990927185913884, 0.05574404381066171, 0.06687309803400932, 0.09911044507372678, 0.055571288679185045, 0.04906731563059341, 0.0530937514718403, 0.07801385936284536, 0.05405500621513993]"
gr1,gr1_unified.PosttrainPnPNovelFromCuttingboardToPanSplitA,120,12,0.42640461143134933,0.2759510458274212,0.5842477398999075,-0.030522952982846033,2.961672870342912,0.8283068394176769,False,"[0.9277950734809767, 0.7394868110820688]","[0.06380900134894263, 0.04358631990978642, 0.06724138453074753, 0.09072800836210898, 0.05635498853234883, 0.04066687916402454, 0.07772475625179262, 0.11673823958390522, 0.12044199274160491, 0.050688511432416095]"
gr1,gr1_unified.PosttrainPnPNovelFromCuttingboardToPotSplitA,120,12,0.367067157441489,0.19725286607839734,0.5190138539009286,0.05894853809292311,3.2206364227453825,1.030758170641037,False,"[1.138798184918915, 0.9329681241271971]","[0.06889149579490576, 0.049823354446713666, 0.033792793393802464, 0.07762734200172311, 0.10883430123038977, 0.0738524956560863, 0.07225013430632293, 0.06512756920607544, 0.08832588812981364, 0.06424512161767272]"
gr1,gr1_unified.PosttrainPnPNovelFromCuttingboardToTieredbasketSplitA,120,12,0.12866865754566287,-0.07817708651821421,0.2774960803449112,-0.08770053475935827,2.4672414882925886,0.8956547065622577,False,"[0.8245983440527088, 0.9728340581482504]","[0.08000996603475863, 0.043966396092477565, 0.06276624580907039, 0.06895188413481718, 0.052274363221738375, 0.04518830274625852, 0.051007076022946816, 0.05382777571659241, 0.08544602962921466, 0.1084757165300658]"
gr1,gr1_unified.PosttrainPnPNovelFromPlacematToBasketSplitA,120,12,0.1812139731925828,-0.06177373982659373,0.40559087731926485,0.1561059457828962,3.332302748027254,1.4927886092674534,True,"[1.4249138378131325, 1.5638965478633375]","[0.043002829987652175, 0.06684849964559911, 0.03763234490299414, 0.1254023663349568, 0.0561545910004759, 0.07102441393510407, 0.07043867950581104, 0.06352338414446655, 0.06794275278747179, 0.0479240521196124]"
gr1,gr1_unified.PosttrainPnPNovelFromPlacematToBowlSplitA,120,12,0.18298492950899367,0.019103147695827955,0.3293808829147996,0.19481908465865683,2.4251223823334698,1.379806636070257,True,"[1.3823674825556262, 1.377250533572868]","[0.043847120352254014, 0.05720263740964549, 0.05161722001534943, 0.0776947915188475, 0.10633463296712063, 0.06233817451272973, 0.10148729926180841, 0.06598322290836137, 0.07276639237204444, 0.06310542168041774]"
gr1,gr1_unified.PosttrainPnPNovelFromPlacematToPlateSplitA,120,12,0.06212931453573164,-0.18898564618668878,0.26105459391578606,-0.09002045288078746,2.154587689454005,1.5053056225078332,True,"[1.3934765969626486, 1.6261091302808817]","[0.052470540083939754, 0.050435818767102916, 0.055813300099958024, 0.09245717103293548, 0.0654001514754768, 0.09774542326568597, 0.07953382812098267, 0.10474343356285755, 0.048614142778009024, 0.08406410768427923]"
gr1,gr1_unified.PosttrainPnPNovelFromPlacematToTieredshelfSplitA,120,12,0.3250572956455309,0.17576108014175978,0.45891799358171975,0.1251234896930313,2.3946643292575294,1.0616891879583934,False,"[0.9739246902578599, 1.1573625179677036]","[0.05143555701889736, 0.04712628632468089, 0.0658654205093005, 0.11285163683209024, 0.07897616569781798, 0.05557359152463316, 0.06075438358314891, 0.07955823396336577, 0.11032345097159496, 0.06389871647607179]"
